faz,surum,sim,ortam,egitim_step,carpisma_orani,voxel_ort,voxel_max,oda_ort,kapsama_yuzde,hayatta_orani,not
1,v1,Gazebo,3kat-12oda,140000,,,,,,,"ilk kurulum, odadan cikamiyor (peak odul -12)"
1,v2,Gazebo,3kat-12oda,290000,,,,,,,"odul x3 entropy, spawn'a takili (peak -12)"
1,v3,Gazebo,3kat-12oda,1400000,,,,,,,"kat bonusu, peak +95 sonra +45'e geriledi"
1,v4,Gazebo,3kat-12oda,310000,,,,,,,"ent dusur, osilasyon (peak +85)"
1,v5,Gazebo,3kat-12oda,350000,,,,,,,"clip/batch, odul olcegi cozulmedi (peak +45)"
1,v6,Gazebo,3kat-12oda,235000,,,,,,,"VecNormalize, EN IYI PEAK +110 ama regress"
1,v7,Gazebo,3kat-12oda,223000,,,,,,,"lr decay, regress onlenmedi (peak +90)"
1,v8,Gazebo,3kat-12oda,,,,,,,,"frontier shaping + n_envs=4 (peak +60)"
2,v2.0,Gazebo,1kat-6oda,792576,0.70,80,201,3.60,36,0.46,"SADE odul EN IYI TABAN"
2,v2.1,Gazebo,1kat-6oda,700416,0.79,69,195,3.44,32,,"yon-duyarli ceza KOTULESTI"
2,v2.2,Gazebo,1kat-6oda,701760,0.88,66,168,3.77,29,,"birlesik caution EN KOTU"
2,v3.0,Gazebo,1kat-6oda,595968,,,284,6.00,,,"v2.0 odulu + uzun episode + [256,256], 610k'da durdu"
3,fast_v1,numpy,1kat-6oda,1500000,0.47,120,,4.74,15.5,0.68,"hizli sim, Gazebo v2.0'dan iyi"
3,fast_5m,numpy,1kat-6oda,5000000,0.80,132,,5.00,,0.75,"daha cok egitim carpismayi COZMEDI"
3,fast_v2,numpy,1kat-6oda,5000000,0.01,157,,2.00,,0.9994,"lidar_history=2 CARPISMA COZULDU ama 2 oda"
3,fast_v4_0,numpy,1kat-6oda,2000000,0.32,142,,2.00,,,"taban referans (2M)"
3,fast_v4_1,numpy,1kat-6oda,2000000,0.02,150,,2.00,6.0,1.00,"room_bonus 30: guvenli ama dar"
3,fast_v4_2,numpy,1kat-6oda,2000000,0.85,143,,4.98,,0.66,"breadth push: 5 oda acildi"
3,fast_v4_3,numpy,1kat-6oda,2000000,1.00,37,51,3.88,5.9,0.07,"BASARISIZ kotu yakinsama"
3,fast_v4_4,numpy,1kat-6oda,2000000,0.97,167,216,4.94,26.7,0.52,"en iyi ham kesif ama carpiyor"
3,fast_v4_5,numpy,1kat-6oda,2000000,0.08,114,132,5.00,15.6,0.95,"collision 30: hipotez dogrulandi"
3,fast_v4_6,numpy,1kat-6oda,3000000,0.93,176,247,5.00,30.9,0.54,"far 1.5 guvenligi ezdi"
3,fast_v4_7,numpy,1kat-6oda,4000000,0.72,72,79,5.00,9.4,0.85,"idle nudge geri tepti"
3,fast_v4_8,numpy,1kat-6oda,2000000,0.00,117,123,5.00,13.8,1.00,"GUVENLI SAMPIYON collision 25 carpisma %0"
3,fast_v4_9,numpy,1kat-6oda,2000000,0.37,119,138,2.00,18.2,0.89,"collision 22 cokme"
3,fast_v4_10,numpy,1kat-6oda,5000000,0.54,281,328,5.76,44.5,0.95,"KAPSAM UCU 5M 281 voxel 6 oda"
3,fast_v4_11,numpy,1kat-6oda,5000000,1.00,147,197,4.90,27.3,0.29,"5M+collision50 kurtarmadi"
3,fast_v4_12,numpy,1kat-6oda,3000000,0.24,90,115,4.52,13.2,0.77,"curriculum resume geriletti"
3,fast_v4_13,numpy,1kat-6oda,8000000,0.26,134,140,4.99,15.6,0.95,"8M kapsam zirvesi 5M'de gecici"
3,fast_v5_0,numpy,1kat-6oda,5000000,0.35,106,125,4.81,15.4,0.88,"lidar_history=3 trade-off kirmadi"
